時間,設備,值
2024-10-19 14:58:32,SA-23/LINE_LEVEL,2384
2024-10-19 14:58:34,SA-23/TEMPERATURE,28.92
2024-10-19 14:58:34,SA-23/LINE_LEVEL,2144
2024-10-19 14:58:36,SA-23/LINE_LEVEL,10514
2024-10-19 14:58:38,SA-23/TEMPERATURE,29.39
2024-10-19 14:58:38,SA-23/LINE_LEVEL,10322
2024-10-19 14:58:40,SA-23/TEMPERATURE,28.92
2024-10-19 14:58:40,SA-23/LINE_LEVEL,10498
2024-10-19 14:58:42,SA-23/LINE_LEVEL,10514
2024-10-19 14:58:44,SA-23/LINE_LEVEL,10338
2024-10-19 14:58:46,SA-23/LINE_LEVEL,10050
2024-10-19 14:58:48,SA-23/TEMPERATURE,29.39
2024-10-19 14:58:48,SA-23/LINE_LEVEL,10018
2024-10-19 14:58:50,SA-23/LINE_LEVEL,10210
2024-10-19 14:58:52,SA-23/TEMPERATURE,29.85
2024-10-19 14:58:52,SA-23/LINE_LEVEL,10546
2024-10-19 14:58:54,SA-23/TEMPERATURE,29.39
2024-10-19 14:58:54,SA-23/LINE_LEVEL,10530
2024-10-19 14:58:56,SA-23/LINE_LEVEL,10210
2024-10-19 14:58:58,SA-23/TEMPERATURE,28.92
2024-10-19 14:58:58,SA-23/LINE_LEVEL,10274
2024-10-19 14:59:00,SA-23/LINE_LEVEL,10306
2024-10-19 14:59:02,SA-23/LINE_LEVEL,10194
2024-10-19 14:59:04,SA-23/TEMPERATURE,29.39
2024-10-19 14:59:04,SA-23/LINE_LEVEL,10146
2024-10-19 14:59:06,SA-23/TEMPERATURE,28.92
2024-10-19 14:59:06,SA-23/LINE_LEVEL,10082
2024-10-19 14:59:08,SA-23/LINE_LEVEL,9954
2024-10-19 14:59:10,SA-23/LINE_LEVEL,10066
2024-10-19 14:59:12,SA-23/TEMPERATURE,29.39
